stop_id,stop_name
4-744,Petit Citeaux
4-745,Transvaal
4-746,Wilson Dumont
4-747,Wilson Sisley
4-748,Transvaal
4-749,Petit Citeaux
4-752,Barbe
4-753,Beaune
4-754,Houblonnière
4-755,Mazières
4-762,Coteaux du Suzon
4-763,Touzet du Vigier
4-764,Presles
4-765,Les Plantes
4-766,Ahuy
4-767,Grands Clos
4-769,Salengro
4-770,Salengro
4-776,Darcy Perriere
4-779,Dubois
4-780,Cottages
4-781,Cottages
4-782,Cortots
4-783,Cortots
4-784,Fontaine Centre Commercial
4-785,Dubois
4-787,Bernard
4-788,Rue de Dijon
4-791,Combottes
4-795,Combottes
4-799,Rue de Dijon
4-800,Bernard
4-806,Fyot
4-807,Fyot
4-810,Racine
4-811,Corneille
4-814,Pré aux Moines
4-815,Mimosas
4-816,Le Fort
4-817,Grande Légie
4-821,Bassin
4-822,Complexe Funéraire
4-823,De Coubertin
4-824,CREPS
4-829,Parc des Sports
4-831,Parc des Sports
4-832,Urgences C.H.U.
4-835,CREPS
4-836,De Coubertin
4-838,Bassin
4-842,Grande Légie
4-843,Le Fort
4-844,Mimosas
4-845,Pré aux Moines
4-846,Montots
4-847,Normand
4-848,Dorain
4-849,SENNECEY Mairie
4-851,Sennecey Mairie
4-852,Dorain
4-853,Normand
4-855,Morel Retz
4-858,Nation
4-861,Boutaric
4-862,Laplace
4-863,DAlembert
4-865,CHU - Hôpitaux
4-866,Fac. des Sciences
4-867,Fac. des Lettres
4-868,Péjoces
4-869,Collège Les Lentillères
4-870,Chancenotte
4-871,Tournois
4-872,Collège du Parc
4-873,Alger
4-875,Tournois
4-876,Chancenotte
4-877,Collège Les Lentillères
4-878,Péjoces
4-879,Fac. des Lettres
4-880,Fac. des Sciences
4-881,Jeanne dArc
4-884,Nation
4-890,CHEVIGNY ZI
4-891,Artisans
4-892,Géraniums
4-893,Perret
4-895,Perret
4-896,Géraniums
4-897,Artisans
4-901,Alger
4-902,Collège du Parc
4-903,CHU - Hôpitaux
4-905,DAlembert
4-906,Laplace
4-907,Boutaric
4-916,Verniquet
4-917,De Maupassant
4-918,Poncelet
4-922,Ferry
4-923,Limburgerhof
4-925,Collège Aymé
4-926,Rameau
4-927,Champforey
4-937,Champforey
4-938,Rameau
4-939,Collège Aymé
4-941,Limburgerhof
4-942,Ferry
4-946,Poncelet
4-947,Maupassant
4-952,Marsannay
4-953,Langevin
4-955,Marsannay
4-959,Dardelain
4-962,Dardelain
4-963,Fontaine dOuche
4-967,Clomiers
4-968,Suisse
4-969,Terrillon
4-970,Junot
4-971,St-Exupery
4-974,Tire-Pesseau
4-977,Chanoine Kir
4-978,Allobroges
4-980,Tire-Pesseau
4-983,St-Exupery
4-984,Theuriet
4-985,Junot
4-986,Allobroges
4-987,Terrillon
4-988,Suisse
4-989,Clomiers
4-992,Plombières
4-993,La Flamme
4-994,Courtois
4-995,Lycée Kir
4-996,Victor Hugo
4-997,Plombières Mairie
4-998,Vallon
4-999,Combe aux Fées
4-1000,Vaux Bruns
4-1001,Cherains
4-1002,Seize Vannes
4-1003,Parc à Bateaux
4-1004,Le Lac
4-1005,CHS La Chartreuse
4-1006,CHS La Chartreuse
4-1007,Le Lac
4-1008,Parc à Bateaux
4-1009,Seize Vannes
4-1010,Cherains
4-1011,Vaux Bruns
4-1012,Combe aux Fées
4-1013,Vallon
4-1014,Plombières Mairie
4-1015,Victor Hugo
4-1016,Lycée Kir
4-1017,Courtois
4-1018,La Flamme
4-1019,Perrigny
4-1020,PERRIGNY Mairie
4-1021,Tourelle
4-1022,Terreau du Moulin
4-1023,Lapostolet
4-1024,Vignery
4-1025,Bolotte
4-1026,CAT - ESAT
4-1027,Cap Sud
4-1028,Cap Sud
4-1029,CAT - ESAT
4-1030,Vignery
4-1031,Lapostolet
4-1032,Terreau du Moulin
4-1033,Tourelle
4-1034,PERRIGNY Mairie
4-1037,Ecluse
4-1038,LONGVIC Carmélites
4-1039,Ecluse
4-1041,BA 102
4-1042,Prévots
4-1043,Prévots
4-1044,Terminal
4-1045,Terminal
4-1046,Plaisanciers
4-1047,la Garande
4-1048,Silo
4-1049,Silo
4-1050,la Garande
4-1052,Capucines
4-1053,Avenue de Tavaux
4-1054,Excellence 2000
4-1056,Excellence 2000
4-1057,Avenue de Tavaux
4-1058,Capucines
4-1059,Quetigny Allées Cavalières
4-1060,Gendarmerie
4-1061,Croix St-Martin
4-1062,Quetigny Mairie
4-1063,Collège Rostand
4-1064,Château
4-1066,Château
4-1067,Collège Rostand
4-1068,Quetigny Mairie
4-1069,Croix St-Martin
4-1070,Gendarmerie
4-1071,Champ Prieur
4-1073,Bons Compagnons
4-1078,Toison dOr
4-1081,Préfecture
4-1082,Notre Dame
4-1084,Darcy
4-1085,St Bénigne
4-1088,Crébillon
4-1090,Manutention
4-1091,Tivoli
4-1092,Dumay
4-1093,Cordeliers
4-1097,Prison
4-1099,Prison
4-1110,Billardon
4-1118,Les Collines
4-1119,Pl. du Puits
4-1121,Hauteville Mairie
4-1123,Les Collines
4-1127,Marronniers
4-1129,Crimolois
4-1130,St-Antoine
4-1132,Magny sur Tille
4-1135,Maladière
4-1136,Bressey-sur-Tille
4-1137,Bressey ZA
4-1138,Bressey ZA
4-1139,Fenay
4-1140,La Pringolle
4-1141,CHEVIGNY Pont Neuf
4-1142,Colleys
4-1143,Domois
4-1145,Domois
4-1146,Colleys
4-1147,CHEVIGNY Pont Neuf
4-1165,Route de Beaune
4-1166,Route de Beaune
4-1170,Canzio
4-1172,Lycée Boivin
4-1174,Léchenet
4-1187,Cromois
4-1188,Ronde
4-1189,Camus
4-1190,Prévert
4-1191,Allende
4-1192,Quetigny
4-1195,Bouhey
4-1196,Bouhey
4-1204,TALANT Citadelle
4-1205,Milsand
4-1207,Chèvre Morte
4-1208,Brossolette
4-1209,Brossolette
4-1210,Chèvre Morte
4-1212,Jeanne dArc
4-1213,Milsand
4-1214,Chanoine Kir
4-1216,30 Octobre
4-1217,Dumont
4-1218,Blanchisseries
4-1219,30 Octobre
4-1222,Dubois
4-1223,DEBRP
4-1224,Suquet
4-1225,Champeaux
4-1226,Champeaux
4-1227,Fevret
4-1228,Suquet
4-1229,DEBR
4-1230,Darcy Devosge
4-1231,Perrières
4-1232,Motte Giron
4-1233,Peguy
4-1234,Lycée Montchapet
4-1236,Leclerc
4-1237,Gorgets
4-1238,Bel Air
4-1239,Saulx Tavannes
4-1240,Bel Air
4-1241,Bourroches Eiffel
4-1242,Gorgets
4-1243,Leclerc
4-1244,Arandes
4-1245,Peguy
4-1246,MARSANNAY Charon
4-1248,Cours Fleury
4-1249,St-Vincent
4-1250,Méchalot
4-1251,Colombier
4-1252,Colombier
4-1253,Méchalot
4-1254,St-Vincent
