service_id,date,exception_type
23_LAS,20240203,2
23_SDF,20240203,2
23_7s7,20240203,2
23_Samedi,20240203,2
23_MeS,20240203,2
23_SDF,20240204,2
23_7s7,20240204,2
23_Dimanche,20240204,2
23_LMJV,20240205,2
23_LAV,20240205,2
23_LAS,20240205,2
23_7s7,20240205,2
23_Lundi,20240205,2
23_LAJ,20240205,2
23_LAV,20240207,2
23_LAS,20240207,2
23_7s7,20240207,2
23_Mercredi,20240207,2
23_MeS,20240207,2
23_LAJ,20240207,2
23_MaàV,20240207,2
23_LMJV,20240209,2
23_LAV,20240209,2
23_LAS,20240209,2
23_7s7,20240209,2
23_Vendredi,20240209,2
23_Lune,20240209,2
23_MaàV,20240209,2
23_LAS,20240210,2
23_SDF,20240210,2
23_7s7,20240210,2
23_Samedi,20240210,2
23_MeS,20240210,2
23_SDF,20240211,2
23_7s7,20240211,2
23_Dimanche,20240211,2
23_LMJV,20240212,2
23_LAV,20240212,2
23_LAS,20240212,2
23_7s7,20240212,2
23_Lundi,20240212,2
23_LAJ,20240212,2
23_LAV,20240214,2
23_LAS,20240214,2
23_7s7,20240214,2
23_Mercredi,20240214,2
23_MeS,20240214,2
23_LAJ,20240214,2
23_MaàV,20240214,2
